name,path,category,tags,Size
Mentions,M13.59 1.11A11 11 0 0 0 1 12a10.18 10.18 0 0 0 .06 1.11v.18c0 .31.08.62.14.92a11 11 0 0 0 3 5.53 11.68 11.68 0 0 0 1.6 1.32 7.45 7.45 0 0 0 .71.43l.22.14.59.28.41.19.45.16a5.89 5.89 0 0 0 .59.21l.29.07c.25.07.51.14.77.19h.1A11 11 0 0 0 12 23a11 11 0 0 0 7.78-3.22l-1.42-1.42a9 9 0 0 1-8.06 2.47c-.23 0-.45-.1-.67-.16l-.2-.05c-.17-.05-.34-.12-.5-.18l-.35-.13-.35-.16-.47-.22-.19-.12c-.2-.11-.39-.22-.58-.35a9 9 0 0 1-3.76-5.62q-.08-.37-.12-.78s0-.08 0-.12A8.93 8.93 0 0 1 6.1 5.2a9 9 0 0 1 7.21-2.11A9.22 9.22 0 0 1 21 12.34V13a2 2 0 0 1-4 0V7h-2v1a4.92 4.92 0 0 0-3-1 5 5 0 0 0 0 10 5 5 0 0 0 3.73-1.71A4 4 0 0 0 23 13v-.66a11.23 11.23 0 0 0-9.41-11.23ZM12 15a3 3 0 1 1 3-3 3 3 0 0 1-3 3Z,Media,,24px
Mic,M12 17a5 5 0 0 0 5-5V6A5 5 0 0 0 7 6v6a5 5 0 0 0 5 5ZM9 6a3 3 0 0 1 6 0v6a3 3 0 0 1-6 0Zm4 13.93V21h3v2H8v-2h3v-1.07A8 8 0 0 1 4 12h2a6 6 0 0 0 12 0h2a8 8 0 0 1-7 7.93Z,Communication,,24px
Mic Off,m18.88 16.06-1.47-1.47A6.07 6.07 0 0 0 18 12h2a7.9 7.9 0 0 1-1.12 4.06ZM9 6a3 3 0 0 1 6 0v6a.78.78 0 0 1 0 .16l1.66 1.66A4.8 4.8 0 0 0 17 12V6a5 5 0 0 0-9.73-1.55L9 6.18Zm4 13.93V21h3v2H8v-2h3v-1.07A8 8 0 0 1 4 12h2a6 6 0 0 0 9.47 4.89l-.72-.72A5 5 0 0 1 7 12V8.41l-5.71-5.7 1.42-1.42 20 20-1.42 1.42-4.39-4.4a7.94 7.94 0 0 1-3.9 1.62Zm.29-5.23L9 10.41V12a3 3 0 0 0 4.29 2.7Z,Communication,,24px
Notifications,M13 20h2a3 3 0 0 1-6 0h2a1 1 0 0 0 2 0Zm8-5v3a1 1 0 0 1-1 1H4a1 1 0 0 1-1-1v-3a1 1 0 0 1 .29-.71L5 12.59V8a7 7 0 0 1 14 0v4.59l1.71 1.7A1 1 0 0 1 21 15Zm-2 .41-1.71-1.7A1 1 0 0 1 17 13V8A5 5 0 0 0 7 8v5a1 1 0 0 1-.29.71L5 15.41V17h14Z,Communication,,24px
Notifications Off,M13 20h2a3 3 0 0 1-6 0h2a1 1 0 0 0 2 0ZM12 3a5 5 0 0 1 5 5v5a1 1 0 0 0 .29.71l1.71 1.7v.77l2 2a.8.8 0 0 0 0-.18v-3a1 1 0 0 0-.29-.71L19 12.59V8A7 7 0 0 0 6.5 3.68l1.43 1.43A5 5 0 0 1 12 3Zm9.29 19.71L17.59 19H4a1 1 0 0 1-1-1v-3a1 1 0 0 1 .29-.71L5 12.59V8a6.74 6.74 0 0 1 .16-1.43L1.29 2.71l1.42-1.42 20 20ZM15.59 17 7 8.41V13a1 1 0 0 1-.29.71L5 15.41V17Z,Communication,,24px
Paper Clip,M14 1a5 5 0 0 0-5 5v10a3 3 0 0 0 6 0V6h-2v10a1 1 0 0 1-2 0V6a3 3 0 0 1 6 0v10a5 5 0 0 1-10 0V6H5v10a7 7 0 0 0 14 0V6a5 5 0 0 0-5-5Z,Media,,24px
Phone,M22 23A21 21 0 0 1 1 2a1 1 0 0 1 1-1h6.3a2 2 0 0 1 1.85 1.25L11.68 6a2 2 0 0 1-.44 2.17l-1.88 1.89a15.16 15.16 0 0 0 4.58 4.58l1.88-1.88a2 2 0 0 1 2.18-.44l3.76 1.53A2 2 0 0 1 23 15.7V22a1 1 0 0 1-1 1ZM3 3a19 19 0 0 0 18 18v-5.3l-3.76-1.52-2.43 2.43a1 1 0 0 1-1.21.16 17.08 17.08 0 0 1-6.37-6.37 1 1 0 0 1 .16-1.21l2.43-2.43L8.3 3Z,Communication,,24px
Pin,M22.71 21.29 16.41 15l4.3-4.29a1 1 0 0 0 0-1.42c-2.48-2.47-6.1-3.09-7.79-3.24a8.38 8.38 0 0 0-2.21-4.76 1 1 0 0 0-1.42 0l-8 8A1 1 0 0 0 1 10a1.05 1.05 0 0 0 .29.71 8.38 8.38 0 0 0 4.76 2.21c.15 1.69.77 5.31 3.24 7.79a1 1 0 0 0 1.42 0l4.29-4.3 6.29 6.3ZM3.49 9.93l6.44-6.44a7.16 7.16 0 0 1 1 3.12L6.61 11a7.12 7.12 0 0 1-3.12-1.07Zm6.56 8.6A12.17 12.17 0 0 1 8 12.4L12.4 8a12.17 12.17 0 0 1 6.13 2Z,Media,,24px
Present,M19 14h2v7a1 1 0 0 1-1 1H4a1 1 0 0 1-1-1v-7h2v6h6v-6h2v6h6Zm4-7v5a1 1 0 0 1-1 1H2a1 1 0 0 1-1-1V7a1 1 0 0 1 1-1h1.35A3.45 3.45 0 0 1 3 4.5 3.5 3.5 0 0 1 6.5 1c2.17 0 3.74 1.7 5.5 4.22C13.76 2.7 15.33 1 17.5 1A3.5 3.5 0 0 1 21 4.5a3.45 3.45 0 0 1-.35 1.5H22a1 1 0 0 1 1 1Zm-9.1-1h3.6a1.5 1.5 0 0 0 0-3c-1.2 0-2.31 1.18-3.6 3ZM6.5 6h3.6C8.81 4.18 7.7 3 6.5 3a1.5 1.5 0 0 0 0 3ZM3 11h8V8H3Zm18-3h-8v3h8Z,Miscellaneous,,24px
Refresh Double,M12 1a10.91 10.91 0 0 0-8 3.45V1H2v6a1 1 0 0 0 1 1h6V6H5.31A8.9 8.9 0 0 1 12 3a9 9 0 0 1 9 9v1h2v-1A11 11 0 0 0 12 1Zm0 22a10.91 10.91 0 0 0 8-3.45V23h2v-6a1 1 0 0 0-1-1h-6v2h3.69A8.9 8.9 0 0 1 12 21a9 9 0 0 1-9-9v-1H1v1a11 11 0 0 0 11 11Z,Actions,Arrow,24px
Respond,m23.7 15.7-4 4c-.2.2-.4.3-.7.3s-.5-.1-.7-.3l-4-4 1.4-1.4 2.3 2.3V6h-8V4h9c.6 0 1 .4 1 1v11.6l2.3-2.3 1.4 1.4zM6 7.4l2.3 2.3 1.4-1.4-4-4c-.4-.4-1-.4-1.4 0l-4 4 1.4 1.4L4 7.4V19c0 .6.4 1 1 1h9v-2H6V7.4z,Communication,Arrow,24px
Search,m22.71 21.29-6.54-6.54a8.53 8.53 0 1 0-1.42 1.42l6.54 6.54ZM9.5 16A6.5 6.5 0 1 1 16 9.5 6.51 6.51 0 0 1 9.5 16Z,System,,24px
Send,M22.71 1.29a1 1 0 0 0-1-.23l-20 7a1 1 0 0 0-.08 1.85l8.65 3.85 3.85 8.65A1 1 0 0 0 15 23a1 1 0 0 0 .9-.67l7-20a1 1 0 0 0-.19-1.04Zm-18 7.82 13.48-4.72-7.41 7.42Zm10.18 10.18-2.7-6.07 7.42-7.41Z,Communication,,24px
Separate Horizontal,m15.71 18.71-1.42-1.42 5.3-5.29-5.3-5.29 1.42-1.42 6 6a1 1 0 0 1 0 1.42Zm-6-1.42L4.41 12l5.3-5.29-1.42-1.42-6 6a1 1 0 0 0 0 1.42l6 6Z,Navigation,Chevron,24px
Separate Vertical,M17.29 9.71 12 4.41l-5.29 5.3-1.42-1.42 6-6a1 1 0 0 1 1.42 0l6 6Zm-4.58 12 6-6-1.42-1.42-5.29 5.3-5.29-5.3-1.42 1.42 6 6a1 1 0 0 0 1.42 0Z,Navigation,Chevron,24px
